"0","1729","0"
"1","243","1"
"2","1461","2"
"3","553","3"
"4","350","4"
"5","1638","5"
"6","1515","6"
"7","1954","7"
"8","1149","8"
"9","1982","9"
"10","1575","10"
"11","1850","11"
"12","662","12"
"13","162","13"
"14","1383","14"
"15","1770","15"
"16","1734","16"
"17","653","17"
"18","60","18"
"19","1722","19"
"20","725","20"
"21","1669","21"
"22","728","22"
"23","716","23"
"24","1216","24"
"25","336","25"
"26","523","26"
"27","1903","27"
"28","1597","28"
"29","1050","29"
"30","179","30"
"31","331","31"
"32","286","32"
"33","743","33"
"34","1149","34"
"35","989","35"
"36","1358","36"
"37","1401","37"
"38","808","38"
"39","617","39"
"40","1218","40"
"41","469","41"
"42","1507","42"
"43","957","43"
"44","1350","44"
"45","1152","45"
"46","1834","46"
"47","640","47"
"48","430","48"
"49","349","49"
"50","505","50"
"51","1566","51"
"52","1298","52"
"53","1854","53"
"54","320","54"
"55","1505","55"
"56","1266","56"
"57","1813","57"
"58","1026","58"
"59","380","59"
"60","327","60"
"61","102","61"
"62","762","62"
"63","1809","63"
"64","188","64"
"65","843","65"
"66","857","66"
"67","1229","67"
"68","51","68"
"69","1616","69"
"70","1723","70"
"71","1231","71"
"72","1646","72"
"73","961","73"
"74","1670","74"
"75","1150","75"
"76","157","76"
"77","61","77"
"78","898","78"
"79","1209","79"
"80","763","80"
"81","1862","81"
"82","1541","82"
"83","285","83"
"84","314","84"
"85","1834","85"
"86","1069","86"
"87","1595","87"
"88","1009","88"
"89","559","89"
"90","820","90"
"91","1193","91"
"92","346","92"
"93","1366","93"
"94","1109","94"
"95","596","95"
"96","528","96"
"97","84","97"
"98","258","98"
"99","1709","99"
"100","1448","100"
"101","1720","101"
"102","1240","102"
"103","201","103"
"104","1136","104"
"105","1303","105"
"106","1412","106"
"107","1103","107"
"108","872","108"
"109","844","109"
"110","1506","110"
"111","232","111"
"112","614","112"
"113","1952","113"
"114","7","114"
"115","1750","115"
"116","648","116"
"117","365","117"
"118","525","118"
"119","1229","119"
"120","481","120"
"121","945","121"
"122","1765","122"
"123","556","123"
"124","1113","124"
"125","1305","125"
"126","1132","126"
"127","1181","127"
"128","938","128"
"129","478","129"
"130","1646","130"
"131","686","131"
