"0","444","1689","1971-11-14 07:08:41"
"1","149","1366","1996-08-26 04:16:47"
"2","383","1071","1982-07-21 20:48:43"
"3","309","193","2005-01-17 11:09:12"
"4","491","1980","1997-07-23 04:46:56"
"5","492","1878","2016-11-25 09:25:53"
"6","952","1473","1994-09-04 09:07:07"
"7","57","1122","2021-05-04 20:30:04"
"8","454","319","1977-04-08 18:36:57"
"9","411","1178","1994-05-25 18:26:56"
"10","452","448","1997-02-13 10:05:01"
"11","435","177","1984-11-29 10:25:02"
"12","251","936","1994-12-29 21:05:29"
"13","683","639","2013-03-13 06:22:46"
"14","357","72","2011-02-26 15:12:41"
"15","145","433","2003-11-14 00:33:48"
"16","869","1764","2016-09-28 11:57:46"
"17","105","438","2007-06-14 09:04:42"
"18","159","625","1985-10-11 16:32:55"
"19","765","1667","1981-08-26 05:34:44"
"20","340","1822","2006-09-08 22:44:29"
"21","479","1373","1979-04-15 21:10:57"
"22","35","1666","2012-12-06 00:15:38"
"23","494","1757","1973-06-08 19:21:56"
"24","841","648","1998-04-08 09:41:00"
"25","511","1324","1972-02-07 16:14:00"
"26","885","847","1987-08-19 01:49:41"
"27","979","1004","2008-05-14 07:58:07"
"28","684","897","1987-12-09 11:12:51"
"29","93","1059","2015-09-29 02:46:21"
"30","167","993","1985-10-05 21:07:49"
"31","374","603","1970-03-22 23:50:01"
"32","940","776","2003-03-30 21:28:22"
"33","738","256","1990-11-13 15:20:46"
"34","494","1730","2011-06-23 14:02:25"
"35","223","1237","2016-08-23 01:10:54"
"36","685","1290","2019-09-08 13:46:43"
"37","278","206","2021-12-04 19:54:49"
"38","975","1331","1999-01-21 03:08:37"
"39","960","732","2016-07-05 05:47:38"
"40","743","535","1994-06-03 08:18:18"
"41","274","1129","2018-09-18 13:34:33"
"42","80","65","2003-11-11 21:37:14"
"43","509","1953","1981-10-21 05:24:57"
"44","634","702","1995-03-23 01:37:59"
"45","550","443","2022-08-26 07:36:38"
"46","220","1062","1978-12-12 12:12:15"
"47","781","1950","1995-04-29 08:14:25"
"48","83","1215","2012-12-27 05:30:39"
"49","710","78","1974-02-05 19:18:53"
"50","845","155","2021-12-24 09:21:33"
"51","245","1588","2001-06-16 01:52:32"
"52","902","1899","1986-08-22 10:28:51"
"53","31","1279","1987-08-18 18:20:15"
"54","857","1799","1991-05-04 16:05:52"
"55","244","705","1994-03-29 14:18:02"
"56","737","493","1985-06-18 15:37:19"
"57","480","1835","2020-08-11 14:43:03"
"58","305","49","2006-10-22 19:03:29"
"59","55","1545","1971-04-28 11:47:40"
"60","187","816","2019-07-19 21:57:57"
"61","934","607","2013-06-02 09:11:26"
"62","607","1412","2012-08-24 11:41:04"
"63","918","869","1973-08-10 03:49:31"
"64","301","637","2011-06-24 20:17:31"
"65","618","420","1976-02-25 06:44:03"
"66","699","765","2005-03-05 07:36:02"
"67","700","923","2017-10-09 03:21:39"
"68","340","1978","1991-10-17 07:07:24"
"69","379","308","2004-11-28 16:59:14"
"70","188","1443","2016-07-15 03:56:40"
"71","574","301","1984-09-29 15:39:51"
"72","333","513","1972-06-09 16:31:20"
"73","408","100","1978-07-04 00:34:07"
"74","79","728","2009-12-09 10:22:30"
"75","123","642","1979-04-17 14:57:08"
"76","218","1382","2019-11-27 19:49:06"
"77","87","507","1972-08-14 09:45:21"
"78","965","1049","1986-03-21 13:18:15"
"79","276","858","2002-11-21 10:33:43"
"80","368","1654","1987-04-22 18:21:55"
"81","822","1924","1978-03-03 19:20:38"
"82","971","1935","2019-06-24 19:25:16"
"83","424","604","1996-02-27 07:29:41"
"84","632","796","2019-10-17 18:59:41"
"85","6","1058","2011-05-23 20:37:54"
"86","364","645","1998-10-30 19:10:58"
"87","83","1974","1991-04-18 20:48:38"
"88","433","1465","2022-05-17 08:00:46"
"89","673","1759","1994-02-25 22:11:07"
"90","673","440","2021-01-11 18:31:36"
"91","411","1752","2021-02-02 03:59:22"
"92","499","1863","1983-12-29 02:03:19"
"93","853","1702","1997-10-15 03:46:08"
"94","233","1166","1984-07-31 05:55:59"
"95","574","63","1995-10-17 06:57:19"
"96","213","1510","1982-01-04 22:52:38"
"97","27","1708","1990-11-08 11:27:20"
"98","546","886","1986-01-01 18:23:43"
"99","825","999","2006-09-04 15:24:18"
"100","585","1442","1999-12-17 16:34:23"
"101","505","1808","2009-02-25 10:24:28"
"102","755","370","1979-08-02 12:46:44"
"103","58","1497","2003-09-09 05:20:20"
"104","370","219","2014-07-20 05:30:10"
"105","462","1214","1981-06-21 01:56:13"
"106","424","656","2007-02-18 00:07:45"
"107","244","106","1987-04-30 23:17:32"
"108","7","1561","2003-07-31 17:54:01"
"109","743","1345","1987-03-23 23:29:51"
"110","718","1916","2021-12-09 01:21:18"
"111","174","1548","2001-03-28 14:49:27"
"112","972","438","1980-02-25 10:38:40"
"113","401","114","2000-10-01 18:29:24"
"114","421","1949","1993-05-14 14:09:46"
"115","539","1331","2008-05-19 14:58:25"
"116","219","1920","1983-08-09 12:49:36"
"117","631","1455","1972-01-14 12:59:57"
"118","554","886","1977-02-23 08:15:17"
"119","269","486","2004-10-26 08:41:13"
"120","150","17","1974-05-01 14:34:20"
"121","234","478","2001-06-19 11:25:06"
"122","887","1617","1989-04-18 14:07:26"
"123","733","1478","1972-06-20 10:39:40"
"124","20","410","1995-08-06 01:46:17"
"125","728","362","2016-01-17 20:35:55"
"126","113","1090","1982-09-27 04:59:03"
"127","915","523","2005-03-15 07:45:59"
"128","2","781","1990-05-09 00:49:30"
"129","954","1885","2007-07-01 04:15:46"
"130","995","1455","1982-10-22 02:36:08"
"131","338","1571","1997-08-24 08:43:11"
