"0","Information eat cost project","360.44","true"
"1","Several enter little today","84.78","false"
"2","Shoulder against admit","385.29","false"
"3","Seem often compare","251.77","false"
"4","Practice mean process","331.36","false"
"5","When summer although what build","430.19","true"
"6","There reality","187.00","false"
"7","May drug lot","334.90","false"
"8","West subject challenge wind","268.62","false"
"9","Little pick true make","378.07","true"
"10","Technology yard eight blue whatever","414.00","true"
"11","Her long rich should","466.00","false"
"12","Notice anything key question","293.92","true"
"13","Option maybe","356.92","true"
"14","Another ago herself dog","437.63","true"
"15","Room especially area","488.29","false"
"16","Decide reason within","483.97","false"
"17","Modern parent maybe","86.53","true"
"18","Commercial again into hit","159.25","true"
"19","South drug sister live model","494.67","false"
"20","Also little guess risk agent","33.09","true"
"21","Deal data","458.87","false"
"22","American serve beautiful","155.41","true"
"23","Blood remember","123.14","true"
"24","Something television view always","187.25","false"
"25","World remember community evidence","124.16","true"
"26","Traditional with thing","153.69","false"
"27","Collection discuss boy traditional","376.27","true"
"28","Area risk billion everyone","425.65","true"
"29","Truth final relate clear","254.31","true"
"30","Picture perhaps senior","358.25","true"
"31","Yourself show quality myself","177.74","true"
"32","Billion physical north","335.38","false"
"33","Feeling number former","272.34","false"
"34","Individual high feel human","196.31","true"
"35","Watch senior very speak anyone","101.67","true"
"36","Mention become","77.72","false"
"37","Black however popular","84.23","false"
"38","Television take writer","1.25","true"
"39","None reduce employee fish know","31.10","false"
"40","Put say return","124.77","false"
"41","Tonight since","88.94","true"
"42","Hope worry learn lose end","443.13","false"
"43","Record radio cut know despite","65.70","false"
"44","Such our","147.00","true"
"45","Bed alone himself","26.72","false"
"46","By heavy win","252.13","false"
"47","Author final affect soldier","458.34","true"
"48","Exist upon others memory heart","293.01","false"
"49","Better billion left present","427.13","true"
"50","Camera executive","432.05","true"
"51","Lay mean walk","102.31","false"
"52","Personal couple budget","317.56","false"
"53","Return might meet","241.44","false"
"54","Police not several cost","500.55","true"
"55","Can board one health face","92.38","true"
"56","Fight task democratic","417.65","false"
"57","Great during as physical as","399.46","true"
"58","Face turn dinner","377.57","true"
"59","Mean kind themselves method onto","239.79","false"
"60","Use cold share","179.70","true"
"61","Take ahead age","134.84","false"
"62","All eat southern","110.08","true"
"63","Police I catch moment","172.98","true"
"64","Notice wait bring animal bring","231.28","true"
"65","Local light on avoid better","334.70","true"
"66","Continue international rule","132.30","true"
"67","Admit card bill degree","118.16","true"
"68","Customer gun nothing ready wish","278.10","false"
"69","Reason shake eat","199.27","false"
"70","Center team rich next few","433.53","false"
"71","Television especially animal","190.39","false"
"72","Budget body arrive","275.23","true"
"73","Yourself resource should soon","189.52","true"
"74","Way remain","334.42","false"
"75","Pick pretty","53.43","true"
"76","Dream rather option eye","420.45","true"
"77","Language sing enough upon rest","230.58","true"
"78","Strong support","392.91","true"
"79","Share run article","200.15","true"
"80","Race believe manage try","445.12","false"
"81","Personal tell one choice","495.20","true"
"82","She him contain though small","324.41","false"
"83","Ready difficult citizen southern","271.71","false"
"84","This theory evening","138.52","false"
"85","Would less material","183.67","false"
"86","Key budget nor","16.53","true"
"87","Painting unit size","458.09","true"
"88","Forget star onto series","220.96","true"
"89","Will peace music","285.20","true"
"90","Always modern respond human check","202.21","true"
"91","Since executive","296.26","false"
"92","List we","29.21","true"
"93","Wonder claim several","206.27","false"
"94","Professional operation","59.87","true"
"95","Rise if issue pick shoulder","102.30","false"
"96","Keep something church","101.09","true"
"97","Sing back start so","126.63","true"
"98","Society why send","50.13","true"
"99","Fear find staff down","437.29","false"
"100","None week newspaper mind president","233.76","true"
"101","News well","16.54","true"
"102","Piece thousand summer general","486.91","true"
"103","Enter student none method meet","167.20","false"
"104","By seat within to","252.28","false"
"105","Make each","201.24","true"
"106","Strong southern fire lawyer future","179.82","true"
"107","Opportunity compare","344.21","false"
"108","Without stuff beyond network","137.60","true"
"109","Parent create wall her medical","68.42","false"
"110","Daughter indicate television and","371.06","true"
"111","Enjoy owner finally","252.41","true"
"112","Another team figure teach","163.17","true"
"113","While common soon move successful","177.75","false"
"114","Out month value","54.53","true"
"115","Plan oil television among","310.69","true"
"116","Behind political history","425.55","true"
"117","Prepare have hope black","184.17","true"
"118","Often arm data player study","18.38","true"
"119","Six establish day","450.55","true"
"120","Live drive business","259.72","false"
"121","Sense order fear find think","204.95","false"
"122","Too yes night anything city","89.67","false"
"123","For cut style actually","112.49","false"
"124","Maybe family relationship","124.60","true"
"125","Nation nature summer theory such","21.96","true"
"126","Western conference vote","357.99","false"
"127","Seek meeting trial simple form","13.46","false"
"128","Growth meeting","294.86","false"
"129","Like after common role","71.56","false"
"130","Family phone eight economic analysis","66.64","false"
"131","Civil stuff present","163.80","false"
"132","Choice program investment approach arm","293.29","true"
"133","Property thousand book low","203.19","true"
"134","Go choice sort","248.68","true"
"135","Chance responsibility hard all central","325.58","true"
"136","Represent contain painting toward such","424.49","true"
"137","Guess industry walk offer","429.95","true"
"138","City he north new","38.54","false"
"139","Finally hundred standard","336.60","false"
"140","Help movement arm agent set","235.74","true"
"141","Success old total and trial","384.38","true"
"142","Card rich","97.86","true"
"143","Entire small","368.83","false"
"144","Practice real reach red","443.21","true"
"145","Work case","453.22","true"
"146","Eat west war","204.90","true"
"147","Available if","21.37","true"
"148","Late what financial require","243.82","false"
"149","Far PM cut","135.62","false"
"150","Significant how","34.35","true"
"151","Eye economic","148.93","true"
